FID,gid,capacity_factor
west_wind_site_metadata.90320,90320,34.5625
west_wind_site_metadata.90321,90321,35.0625
west_wind_site_metadata.90322,90322,34.625
west_wind_site_metadata.90323,90323,34.65625
west_wind_site_metadata.90324,90324,34.375
west_wind_site_metadata.90325,90325,34.25
west_wind_site_metadata.90326,90326,33.96875
west_wind_site_metadata.90327,90327,33.5
west_wind_site_metadata.90328,90328,33.0625
west_wind_site_metadata.90329,90329,32.5
west_wind_site_metadata.90330,90330,31.84375
west_wind_site_metadata.90331,90331,31.125
west_wind_site_metadata.90332,90332,30.578125
west_wind_site_metadata.90333,90333,21.203125
west_wind_site_metadata.90334,90334,22.203125
west_wind_site_metadata.90335,90335,29.921875
west_wind_site_metadata.90336,90336,29.953125
west_wind_site_metadata.90337,90337,33.15625
west_wind_site_metadata.90338,90338,32.53125
west_wind_site_metadata.90339,90339,34.25
west_wind_site_metadata.90340,90340,33.5625
west_wind_site_metadata.90341,90341,35
west_wind_site_metadata.90342,90342,34.375
west_wind_site_metadata.90343,90343,34.78125
west_wind_site_metadata.90344,90344,34.28125
west_wind_site_metadata.90345,90345,34.375
west_wind_site_metadata.90346,90346,34.09375
west_wind_site_metadata.90347,90347,33.9375
west_wind_site_metadata.90348,90348,33.6875
west_wind_site_metadata.90349,90349,33.15625
west_wind_site_metadata.90350,90350,32.65625
west_wind_site_metadata.90351,90351,32.125
west_wind_site_metadata.90352,90352,31.5625
west_wind_site_metadata.90353,90353,30.859375
west_wind_site_metadata.90354,90354,27.796875
west_wind_site_metadata.90355,90355,35.6875
west_wind_site_metadata.90356,90356,34.875
west_wind_site_metadata.90357,90357,35.53125
west_wind_site_metadata.90358,90358,34.9375
west_wind_site_metadata.90359,90359,35.125
west_wind_site_metadata.90360,90360,34.59375
west_wind_site_metadata.90361,90361,34.40625
west_wind_site_metadata.90362,90362,33.875
west_wind_site_metadata.90363,90363,33.75
west_wind_site_metadata.90364,90364,33.4375
west_wind_site_metadata.90365,90365,33.25
west_wind_site_metadata.90366,90366,32.90625
west_wind_site_metadata.90367,90367,32.40625
west_wind_site_metadata.90368,90368,31.9375
west_wind_site_metadata.90369,90369,31.390625
west_wind_site_metadata.90370,90370,30.890625
west_wind_site_metadata.90371,90371,24.859375
west_wind_site_metadata.90372,90372,28.46875
west_wind_site_metadata.90373,90373,30.015625
west_wind_site_metadata.90374,90374,35.15625
west_wind_site_metadata.90375,90375,34.28125
west_wind_site_metadata.90376,90376,34.90625
west_wind_site_metadata.90377,90377,34.34375
west_wind_site_metadata.90378,90378,34.625
west_wind_site_metadata.90379,90379,34.1875
west_wind_site_metadata.90380,90380,34.03125
west_wind_site_metadata.90381,90381,33.5625
west_wind_site_metadata.90382,90382,33.34375
west_wind_site_metadata.90383,90383,32.96875
west_wind_site_metadata.90384,90384,32.6875
west_wind_site_metadata.90385,90385,32.28125
west_wind_site_metadata.90386,90386,31.765625
west_wind_site_metadata.90387,90387,31.375
west_wind_site_metadata.90388,90388,30.890625
west_wind_site_metadata.90389,90389,15.5
west_wind_site_metadata.90390,90390,21.40625
west_wind_site_metadata.90391,90391,27.453125
west_wind_site_metadata.90392,90392,35.0625
west_wind_site_metadata.90393,90393,34.375
west_wind_site_metadata.90394,90394,36.25
west_wind_site_metadata.90395,90395,35.21875
west_wind_site_metadata.90396,90396,35.5625
west_wind_site_metadata.90397,90397,34.9375
west_wind_site_metadata.90398,90398,34.75
west_wind_site_metadata.90399,90399,34.375
west_wind_site_metadata.90400,90400,33.9375
west_wind_site_metadata.90401,90401,33.46875
west_wind_site_metadata.90402,90402,33.03125
west_wind_site_metadata.90403,90403,32.59375
west_wind_site_metadata.90404,90404,32.25
west_wind_site_metadata.90405,90405,31.828125
west_wind_site_metadata.90406,90406,31.28125
west_wind_site_metadata.90407,90407,30.96875
west_wind_site_metadata.90408,90408,16.1875
west_wind_site_metadata.90409,90409,21.9375
west_wind_site_metadata.90410,90410,17.359375
west_wind_site_metadata.90411,90411,34.6875
west_wind_site_metadata.90412,90412,33.90625
west_wind_site_metadata.90413,90413,35.65625
west_wind_site_metadata.90414,90414,34.5625
west_wind_site_metadata.90415,90415,34.75
west_wind_site_metadata.90416,90416,34.03125
west_wind_site_metadata.90417,90417,33.75
west_wind_site_metadata.90418,90418,33.34375
west_wind_site_metadata.90419,90419,32.875
west_wind_site_metadata.90420,90420,32.4375
west_wind_site_metadata.90421,90421,32.03125
west_wind_site_metadata.90422,90422,31.65625
west_wind_site_metadata.90423,90423,31.34375
west_wind_site_metadata.90424,90424,30.96875
west_wind_site_metadata.90425,90425,30.515625
west_wind_site_metadata.90426,90426,17.09375
west_wind_site_metadata.90427,90427,18.703125
west_wind_site_metadata.90428,90428,21.96875
west_wind_site_metadata.90429,90429,34.375
west_wind_site_metadata.90430,90430,34.03125
west_wind_site_metadata.90431,90431,35.71875
west_wind_site_metadata.90432,90432,34.6875
west_wind_site_metadata.90433,90433,35.90625
west_wind_site_metadata.90434,90434,34.71875
west_wind_site_metadata.90435,90435,34.5625
west_wind_site_metadata.90436,90436,33.78125
west_wind_site_metadata.90437,90437,33.46875
west_wind_site_metadata.90438,90438,32.96875
west_wind_site_metadata.90439,90439,32.5
west_wind_site_metadata.90440,90440,32.15625
west_wind_site_metadata.90441,90441,31.640625
west_wind_site_metadata.90442,90442,31.296875
west_wind_site_metadata.90443,90443,30.859375
west_wind_site_metadata.90444,90444,30.5625
west_wind_site_metadata.90445,90445,18.1875
west_wind_site_metadata.90446,90446,18.671875
west_wind_site_metadata.90447,90447,16.421875
west_wind_site_metadata.90448,90448,18.28125
west_wind_site_metadata.90449,90449,18.09375
west_wind_site_metadata.90450,90450,18.265625
west_wind_site_metadata.90451,90451,22.453125
west_wind_site_metadata.90452,90452,33.71875
west_wind_site_metadata.90453,90453,35.15625
west_wind_site_metadata.90454,90454,34
west_wind_site_metadata.90455,90455,35.09375
west_wind_site_metadata.90456,90456,33.9375
west_wind_site_metadata.90457,90457,33.90625
west_wind_site_metadata.90458,90458,33.15625
west_wind_site_metadata.90459,90459,32.875
west_wind_site_metadata.90460,90460,32.34375
west_wind_site_metadata.90461,90461,31.953125
west_wind_site_metadata.90462,90462,31.609375
west_wind_site_metadata.90463,90463,31.140625
west_wind_site_metadata.90464,90464,30.78125
west_wind_site_metadata.90465,90465,30.375
west_wind_site_metadata.90466,90466,16.515625
west_wind_site_metadata.90467,90467,18.125
west_wind_site_metadata.90468,90468,22.78125
west_wind_site_metadata.90469,90469,23.75
west_wind_site_metadata.90470,90470,28.375
west_wind_site_metadata.90471,90471,28.609375
west_wind_site_metadata.90472,90472,35.46875
west_wind_site_metadata.90473,90473,34.59375
west_wind_site_metadata.90474,90474,35.625
west_wind_site_metadata.90475,90475,34.25
west_wind_site_metadata.90476,90476,34.90625
west_wind_site_metadata.90477,90477,33.875
west_wind_site_metadata.90478,90478,33.4375
west_wind_site_metadata.90479,90479,32.8125
west_wind_site_metadata.90480,90480,32.1875
west_wind_site_metadata.90481,90481,31.78125
west_wind_site_metadata.90482,90482,31.28125
west_wind_site_metadata.90483,90483,30.953125
west_wind_site_metadata.90484,90484,30.453125
west_wind_site_metadata.90485,90485,30.171875
